condition,file_path,leaf_found,damage_found,analysis_status,leaf_roundness,total_nearest_island_distances,mean_nearest_island_distance,island_counts,total_leaf_size_px,total_leaf_size_cm2,total_damage_area_px,total_damage_area_cm2,total_damage_percentage,threshold_val_leaf,threshold_val_dmg,background_leaf,background_dmg
Ctrl,/Users/m.wehrens/Documents/git_repos/_UVA/_Projects-bioDSC/2025_MW_EatingDispersion/Example_data/DATA/condition_Control/Example_A_2.tif,True,True,ok,0.8745587485476687,204.84381973144303,7.586808138201594,27,24219.0,,4414.0,,18.225360254345762,20.0,78.0,6,39
Ctrl,/Users/m.wehrens/Documents/git_repos/_UVA/_Projects-bioDSC/2025_MW_EatingDispersion/Example_data/DATA/condition_Control/Example_A_1.tif,True,True,ok,0.8415435914992488,159.63191363292785,9.97699460205799,16,21562.0,,3260.0,,15.119191169650312,10.0,134.0,1,67
Edited,/Users/m.wehrens/Documents/git_repos/_UVA/_Projects-bioDSC/2025_MW_EatingDispersion/Example_data/DATA/condition_Photoshopped/Example_B_2.tif,True,True,ok,0.842467503185681,139.5221817229474,7.34327272226039,19,22444.0,,7124.0,,31.741222598467296,20.0,84.0,5,42
Edited,/Users/m.wehrens/Documents/git_repos/_UVA/_Projects-bioDSC/2025_MW_EatingDispersion/Example_data/DATA/condition_Photoshopped/Example_B_1.tif,True,True,ok,0.823535946078368,132.4868942721214,8.280430892007587,16,23776.0,,7533.0,,31.68320995962315,20.0,88.0,2,44
